layer0_smarts,layer1_smarts,layer2_smarts,layer3_smarts,layer4_smarts
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=@[S,n+0,CH3,CH2,s,o,CH,CH0,F,C,c,Cl,O,NH2,NH,N+,N+0H0,N+0]):[#6]([#1]):[#6](:[s]):[#6](!=@[N+0]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=!@[CH,CH0,S,CH3,CH2,n+0,s,N+0,o,O,c,Cl,F,N+0H0,NH2,NH,N+,C]):[#6]([#1]):[#6](!=@[S]):[#6](!=@[N+0]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](:[c,N+0,o,CH,CH0,F,n+0,Cl,s,S,O,N+0H0,NH2,NH,N+,C,CH3,CH2]):[#6]([#1]):[#6](!=!:[n+0]):[#6](!=!@[CH,CH0]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=!@[N+0H0,O,C,S,CH3,CH2,n+0,s,N+0,CH,CH0,c,Cl,o,F,NH2,NH,N+]):[#6]([#1]):[#6](!=!@[CH3,CH2]):[#6](!=@[S]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](-[Cl,n+0,F,O,N+0H0,C,CH,CH0,S,CH3,CH2,s,c,N+0,o,NH2,NH,N+]):[#6]([#1]):[#6](!=!@[CH3,CH2]):[#6](-[F]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=@[O,N+0H0,NH2,NH,N+,C,CH3,CH2,n+0,s,N+0,o,c,CH,CH0,F,S,Cl]):[#6]([#1]):[#6](-[F]):[#6](!=!@[O,CH,CH0]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=!:[c,S,n+0,CH3,CH2,s,o,F,N+0H0,O,Cl,NH2,NH,N+,C,N+0,CH,CH0]):[#6]([#1]):[#6](!=@[O]):[#6](:[s]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=@[N+0,o,c,F,N+0H0,Cl,S,O,NH2,NH,N+,C,CH,CH0,n+0,CH3,CH2,s]):[#6]([#1]):[#6](-[F]):[#6](!=!:[c]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](-[Cl,S,O,NH2,NH,N+,N+0,CH,CH0,c,n+0,CH3,CH2,s,o,F,N+0H0,C]):[#6]([#1]):[#6](!=!:[c]):[#6](-[F]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](-[F,O,NH2,NH,N+,C,CH,CH0,S,n+0,CH3,CH2,s,N+0,o,c,N+0H0,Cl]):[#6]([#1]):[#6](!=!:[c]):[#6](!=!@[CH,CH0]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](!=!@[O,c,S,n+0,Cl,F,N+0H0,NH2,NH,N+,C,CH,CH0,CH3,CH2,s,N+0,o]):[#6]([#1]):[#6](!=!@[O]):[#6](:[n+0,CH3,CH2,c]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](-[Cl,c,O,NH2,NH,N+,N+0,CH,CH0,S,n+0,CH3,CH2,s,o,F,N+0H0,C]):[#6]([#1]):[#6](!=!@[O]):[#6](-[F]):1"
[a:1]:1:a:a:a:a:1,[a:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6](*):[#6](*):[#6](*):1,[#16:1]:1:[#6](*):[#6]([#1]):[#6](*):[#6](*):1,"[#16:1]:1:[#6](:[o,S,F,N+0H0,O,C,Cl,c,NH2,NH,N+,N+0,CH,CH0,n+0,CH3,CH2,s]):[#6]([#1]):[#6](!=!@[O]):[#6](!=!:[c]):1"
